thread,ht,func,L1-dcache-load-misses,L1-dcache-loads,cycles,instructions,
1,0,fast,32804,160584047,214344357,552019983,
1,0,slow_a,7862963,2665593599,2231499190,6592061693,
1,0,slow_b,7864458,2160579534,2820039241,6552083932,
1,0,slow_c,7868629,1660594910,12707049025,5052064796,
1,0,slow_d,7898442,6160598272,25792971108,14552070771,
1,0,slow_e,507904779,1910578311,5942954602,5083451712,
1,0,slow_f,7858588,191849265,916223024,2145838008,
2,1,fast,32115,160588790,514420334,572038934,
2,1,slow_a,7863639,2665601270,4463067996,6612078200,
2,1,slow_b,7941091,2160593108,12295108731,6572118189,
2,1,slow_c,7896361,1660603695,25716385698,5072088792,
2,1,slow_d,8981041,7022778576,52186992833,18728431436,
2,1,slow_e,391744957,1910586264,8735221208,5103470223,
2,1,slow_f,7866378,191859916,1510507177,2165874662,
2,0,fast,32186,160588583,514848156,572038873,
2,0,slow_a,7866516,2665602402,2545090139,6612082534,
2,0,slow_b,169116770,2160595921,16892380257,6572113320,
2,0,slow_c,554700063,1660607015,90670599975,5072099984,
2,0,slow_d,994317081,7262186353,125708994933,19780522576,
2,0,slow_e,658141082,1910573275,11097033328,5103471036,
2,0,slow_f,7870102,191859236,1239639386,2165873134,
